PRINCÍPIO ATIVO,CNPJ,LABORATÓRIO,CÓDIGO GGREM
ACETATO DE DEGARELIX,74.232.034/0001-48,LABORATÓRIOS FERRING LTDA,521416070006103
ACETATO DE DESMOPRESSINA,61.282.661/0001-41,LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA,519507902176111
ACETATO DE DEXAMETASONA,57.507.378/0003-65,EMS S/A,507739001166111
ACETATO DE FLUDROCORTISONA,02.433.631/0001-20,ASPEN PHARMA INDÚSTRIA FARMACÊUTICA LTDA,505618010042617
ACETATO DE FLUORMETOLONA,56.994.502/0001-30,NOVARTIS BIOCIENCIAS S.A,500901601170311
ACETATO DE GANIRRELIX,03.560.974/0001-18,MERCK SHARP & DOHME FARMACEUTICA LTDA.,527302501154311
ACETATO DE GLATIRÂMER,05.333.542/0001-08,TEVA FARMACÊUTICA LTDA.,537500101151219
ACETATO DE GOSSERRELINA;GOSERRELINA,60.318.797/0001-00,ASTRAZENECA DO BRASIL LTDA,502320020033607
ACETATO DE HIDROCORTISONA,17.159.229/0001-76,LABORATÓRIO TEUTO BRASILEIRO S/A,520729802163114
ACETATO DE ICATIBANTO,60.397.775/0001-74,TAKEDA PHARMA LTDA.,501121040039017
ACETATO DE LANREOTIDA,07.718.721/0001-80,BEAUFOUR IPSEN FARMACÊUTICA LTDA,539214010000603
ACETATO DE LEUPRORRELINA,61.286.647/0001-16,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,511513501158415
ACETATO DE MEDROXIPROGESTERONA,46.070.868/0036-99,LABORATÓRIOS PFIZER LTDA,522236201118418
ACETATO DE MEGESTROL,56.998.982/0001-07,BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA,505103302118310
ACETATO DE METILPREDNISOLONA,60.665.981/0001-18,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,533022701158416
ACETATO DE NOMEGESTROL,05.333.542/0001-08,TEVA FARMACÊUTICA LTDA.,537512080004304
ACETATO DE NORETISTERONA,18.459.628/0001-15,BAYER S.A.,538912050011814
ACETATO DE OCTREOTIDA,56.994.502/0001-30,NOVARTIS BIOCIENCIAS S.A,526527204159311
ACETATO DE PREDNISOLONA,56.994.502/0001-30,NOVARTIS BIOCIENCIAS S.A,500900101174115
ACETATO DE RACEALFATOCOFEROL,61.286.647/0001-16,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,511519120070007
ACETATO DE RACEALFATOCOFEROL;ÁCIDO FÓLICO,49.475.833/0001-06,BIOLAB SANUS FARMACÊUTICA LTDA,504120100070007
ACETATO DE RACEALFATOCOFEROL;BETACAROTENO;SELÊNIO;COBRE;ÁCIDO ASCÓRBICO;ZINCO,60.726.692/0001-81,MARJAN INDÚSTRIA E COMÉRCIO LTDA,524820030010007
ACETATO DE RACEALFATOCOFEROL;PALMITATO DE RETINOL;COLECALCIFEROL,33.145.194/0001-72,LABORATÓRIO GROSS S. A.,517700103135419
ACETATO DE RETINOL,18.459.628/0001-15,BAYER S.A.,538900302118414
ACETATO DE RETINOL;CLORIDRATO DE PIRIDOXINA;COLECALCIFEROL,29.346.301/0001-53,LABORATÓRIO FARMACÊUTICO VITAMED LTDA,517300701132310
ACETATO DE RETINOL;CLORIDRATO DE PIRIDOXINA;RIBOFLAVINA;CIANOCOBALAMINA;FLUORETO;BIOTINA;COLECALCIFEROL;IODETO DE POTÁSSIO;SULFATO DE MANGANÊS;PANTOTENATO DE CÁLCIO;SULFATO DE POTÁSSIO;FUMARATO FERROSO;NITRATO DE TIAMINA;PANAX GINSENG;NICOTINAMIDA;ÁCIDO ASCÓRBICO;RUTOSÍDEO;ACETATO DE RACEALFATOCOFEROL,17.562.075/0001-69,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,506320030033007
ACETATO DE RETINOL;COLECALCIFEROL,60.397.775/0001-74,TAKEDA PHARMA LTDA.,501120120031907
ACETATO DE SÓDIO TRIHIDRATADO,05.155.425/0001-93,CASULA & VASCONCELOS INDÚSTRIA FARMACÊUTICA E COMÉRCIO LTDA,540620080003107
ACETATO DE SÓDIO TRIIDRATADO,05.155.425/0001-93,CASULA & VASCONCELOS INDÚSTRIA FARMACÊUTICA E COMÉRCIO LTDA,540600401155417
ACETATO DE SÓDIO TRIIDRATADO;CITRATO DE SÓDIO DI-HIDRATADO;CLORETO DE MAGNÉSIO HEXAIDRATADO;CLORETO DE POTÁSSIO;CLORETO DE SÓDIO;CLORETO DE CÁLCIO DIIDRATADO,01.571.702/0001-98,HALEX ISTAR INDÚSTRIA FARMACÊUTICA SA,511204302150416
ACETATO DE SÓDIO TRIIDRATADO;GLICONATO DE SÓDIO;CLORETO DE MAGNÉSIO HEXAIDRATADO;CLORETO DE POTÁSSIO;CLORETO DE SÓDIO,31.673.254/0001-02,LABORATÓRIOS B. BRAUN S/A,520916120014704
ACETATO DE SÓDIO TRIIDRATADO;GLICONATO DE SÓDIO;CLORETO DE POTÁSSIO;CLORETO DE SÓDIO;CLORETO DE MAGNÉSIO,49.351.786/0002-61,BAXTER HOSPITALAR LTDA,503202601151317
ACETATO DE SÓDIO TRIIDRATADO;HIDROXIETILAMIDO;CLORETO DE MAGNÉSIO HEXAIDRATADO;CLORETO DE POTÁSSIO;CLORETO DE SÓDIO;CLORETO DE CÁLCIO DIIDRATADO,01.571.702/0001-98,HALEX ISTAR INDÚSTRIA FARMACÊUTICA SA,511212050022505
ACETATO DE TERLIPRESSINA,74.232.034/0001-48,LABORATÓRIOS FERRING LTDA,521400302157318
ACETATO DE TOCOFEROL;ÁCIDO FÓLICO,49.475.833/0001-06,BIOLAB SANUS FARMACÊUTICA LTDA,504117080058303
ACETATO DE TOCOFEROL;CÂNFORA (2-BORNANONA);MENTOL,49.383.250/0001-47,HISAMITSU FARMACÊUTICA DO BRASIL LTDA,511700205176413
ACETATO DE TOCOFEROL;RIBOFLAVINA;CLORIDRATO DE PIRIDOXINA;ASPARTATO DE MAGNÉSIO;CLORIDRATO DE TIAMINA;ASPARTATO DE POTÁSSIO,44.010.437/0001-81,CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA,505519120020607
ACETATO DE TRIPTORRELINA,74.232.034/0001-48,LABORATÓRIOS FERRING LTDA,521400401155410
ACETATO DE ULIPRISTAL,19.136.432/0001-52,EXELTIS LABORATORIO FARMACEUTICO LTDA,565618040000217
ACETATO DE ZINCO,05.155.425/0001-93,CASULA & VASCONCELOS INDÚSTRIA FARMACÊUTICA E COMÉRCIO LTDA,540621050003407
ACETAZOLAMIDA,60.665.981/0001-18,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,533020501119410
ACETILCISTEÍNA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508017603134129
ACETIL-LEVOMETIONINA,60.397.775/0001-74,TAKEDA PHARMA LTDA.,501103305130417
ACETIL-LEVOMETIONINA;BETAÍNA;CITRATO DE COLINA,60.397.775/0001-74,TAKEDA PHARMA LTDA.,501103401131410
ACETILRACEMETIONINA;BETAÍNA;CITRATO DE COLINA,60.397.775/0001-74,TAKEDA PHARMA LTDA.,501118120029503
ACETONIDA DE TRIANCINOLONA,02.685.377/0001-57,SANOFI-AVENTIS FARMACÊUTICA LTDA,502820020079507
ACICLOVIR,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508017100119606
ACICLOVIR SÓDICO,49.324.221/0001-04,FRESENIUS KABI BRASIL LTDA,509521060031217
ÁCIDO ACÉTICO GLACIAL;CLORETO DE CÁLCIO;ÁGUA PARA INJEÇÃO;CLORETO DE MAGNÉSIO HEXAIDRATADO;DEXTROSE ANIDRA;CLORETO DE POTÁSSIO;CLORETO DE SÓDIO,58.635.830/0001-75,FARMARIN INDUSTRIA E COMERCIO LTDA,508620110011607
ACIDO ACETILSALICILICO,48.113.906/0001-49,1FARMA INDUSTRIA FARMACEUTICA LTDA,526221060018307
ÁCIDO ACETILSALICÍLICO,46.179.008/0001-68,BRASTERAPICA INDUSTRIA FARMACEUTICA EIRELI,504913100009004
ÁCIDO ACETILSALICÍLICO;ÁCIDO ASCÓRBICO,18.459.628/0001-15,BAYER S.A.,538916030026517
ACIDO ACETILSALICILICO;CAFEÍNA;HIDROXIDO DE ALUMÍNIO;MALEATO DE MEPIRAMINA,25.773.037/0001-83,PHARMASCIENCE INDUSTRIA FARMACEUTICA S.A,528120050015717
ÁCIDO AMINOCAPRÓICO,05.254.971/0001-81,ZYDUS NIKKHO FARMACÊUTICA LTDA,536214070004714
ÁCIDO ASCÓRBICO,33.069.212/0001-84,MERCK S/A,525418901111417
ÁCIDO ASCÓRBICO 90%;ZINCO COMPLEXO GLICINATO,18.459.628/0001-15,BAYER S.A.,538919120029307
ÁCIDO ASCÓRBICO;CITRATO DE ZINCO,57.507.378/0003-65,EMS S/A,541819120114407
ÁCIDO ASCÓRBICO;COLECALCIFEROL,61.517.397/0001-88,THERASKIN FARMACEUTICA LTDA.,512100501112413
ÁCIDO ASCÓRBICO;GLYCYRRHIZA GLABRA L.;COLECALCIFEROL;MATRICARIA CHAMOMILLA L.,61.517.397/0001-88,THERASKIN FARMACEUTICA LTDA.,512121090007107
ÁCIDO ASCÓRBICO;ZINCO,60.665.981/0001-18,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,533020050070107
ÁCIDO AZELAICO,45.992.062/0001-65,GERMED FARMACEUTICA LTDA,526133101164419
ÁCIDO BENZÓICO;TERPINA MONOIDRATADA;MENTOL;EUCALIPTOL,33.026.055/0001-20,MEGALABS FARMACEUTICA S.A.,516301101173418
ÁCIDO CARGLÚMICO,53.056.057/0001-79,RECORDATI RARE DISEASES COMÉRCIO DE MEDICAMENTOS LTDA - ME,576920060000307
ÁCIDO CÍTRICO ANIDRO;BICARBONATO DE SÓDIO;SULFATO DE MAGNÉSIO,30.872.270/0001-53,PF CONSUMER HEALTHCARE BRAZIL IMPORTADORA E DISTRIBUIDORA DE MEDICAMENTOS LTDA,597221090002007
ACIDO CITRICO;BICARBONATO DE SÓDIO;CARBONATO DE SÓDIO,33.247.743/0001-10,GLAXOSMITHKLINE BRASIL LTDA,510620060055007
ÁCIDO CÍTRICO;BICARBONATO DE SÓDIO;CARBONATO DE SÓDIO,61.082.426/0002-07,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,540920120044307
ÁCIDO DESOXICÓLICO,43.426.626/0001-77,ALLERGAN PRODUTOS FARMACÊUTICOS LTDA,501019070014202
ÁCIDO FÓLICO,60.726.692/0001-81,MARJAN INDÚSTRIA E COMÉRCIO LTDA,524816070008103
ÁCIDO FÓLICO;ÁCIDO ASCÓRBICO,17.440.261/0001-25,MYRALIS INDÚSTRIA FARMACÊUTICA LTDA,575219060002417
ÁCIDO FÓLICO;CIANOCOBALAMINA,83.874.628/0001-43,LABORATÓRIO FARMACÊUTICO ELOFAR LTDA,517105104139410
ÁCIDO FUSÍDICO,05.161.069/0001-10,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,504617050063017
ÁCIDO FUSÍDICO;VALERATO DE BETAMETASONA,72.593.791/0001-11,NOVA QUIMICA FARMACÊUTICA S/A,525308401163112
ÁCIDO GADOTÉRICO,42.180.406/0001-43,GUERBET PRODUTOS RADIOLÓGICOS LTDA,511000206153412
ÁCIDO GAMAMINOBUTÍRICO,05.254.971/0001-81,ZYDUS NIKKHO FARMACÊUTICA LTDA,536214070005114
ÁCIDO GLICÓLICO;HIDROQUINONA,61.186.136/0001-22,VALEANT FARMACÊUTICA DO BRASIL LTDA,512002802169414
ÁCIDO HIALURÔNICO,61.455.192/0001-15,TRB PHARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA LTDA,532813120002703
ÁCIDO MEFENÂMICO,57.507.378/0003-65,EMS S/A,507738901112117
ÁCIDO NALIDÍXICO,44.010.437/0001-81,CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA,505506901117419
ÁCIDO NICOTÍNICO,61.230.314/0001-75,LIBBS FARMACÊUTICA LTDA,523705903118415
ÁCIDO PARAMINOBENZÓICO;NITRATO DE TIAMINA;PANTOTENATO DE CÁLCIO;CISTINA;QUERATINA;LEVEDURA,49.475.833/0001-06,BIOLAB SANUS FARMACÊUTICA LTDA,504116090056503
ÁCIDO PARAMINOBENZÓICO;PANTOTENATO DE CÁLCIO;CISTINA;QUERATINA;LEVEDURA;TIAMINA,49.475.833/0001-06,BIOLAB SANUS FARMACÊUTICA LTDA,504111201114315
ÁCIDO SALICÍLICO,83.874.628/0001-43,LABORATÓRIO FARMACÊUTICO ELOFAR LTDA,517113060012504
ÁCIDO SALICÍLICO;ACIDO LÁCTICO,63.064.653/0001-54,LABORATÓRIOS STIEFEL LTDA,522601101173312
ÁCIDO SALICÍLICO;DIPROPIONATO DE BETAMETASONA,17.159.229/0001-76,LABORATÓRIO TEUTO BRASILEIRO S/A,520726601167118
ÁCIDO SALICÍLICO;ÓXIDO DE ZINCO;ENXOFRE;ÁCIDO BÓRICO,33.109.356/0001-17,"CASA GRANADO LABORATÓRIOS, FARMÁCIAS E DROGARIAS S/A",505300302171414
ÁCIDO SELENIOSO,05.155.425/0001-93,CASULA & VASCONCELOS INDÚSTRIA FARMACÊUTICA E COMÉRCIO LTDA,540620070002707
ÁCIDO TIÓCTICO,11.643.096/0001-22,MYLAN LABORATORIOS LTDA,541521070021203
ÁCIDO TRANEXÂMICO,57.507.378/0003-65,EMS S/A,507743301111116
ÁCIDO URSODESOXICÓLICO,61.100.004/0001-36,ZAMBON LABORATÓRIOS FARMACÊUTICOS LTDA.,533802004111317
ÁCIDO VALPRÓICO,56.998.701/0001-16,ABBOTT LABORATÓRIOS DO BRASIL LTDA,500202401113318
ÁCIDO VALPRÓICO;VALPROATO DE SÓDIO,33.078.528/0001-32,TORRENT DO BRASIL LTDA,532701201118411
ÁCIDO ZOLEDRÔNICO,61.230.314/0001-75,LIBBS FARMACÊUTICA LTDA,523709201150419
ÁCIDO ZOLEDRÔNICO MONOIDRATADO,61.230.314/0001-75,LIBBS FARMACÊUTICA LTDA,523719040039903
ACITRETINA,44.363.661/0001-57,GLENMARK FARMACÊUTICA LTDA,521920090020207
ACTAEA RACEMOSA L.,60.726.692/0001-81,MARJAN INDÚSTRIA E COMÉRCIO LTDA,524820010008107
ADALIMUMABE,49.324.221/0001-04,FRESENIUS KABI BRASIL LTDA,509520120028207
ADAPALENO,57.507.378/0003-65,EMS S/A,507730602167119
ADAPALENO;FOSFATO DE CLINDAMICINA,44.363.661/0001-57,GLENMARK FARMACÊUTICA LTDA,521904503172319
ADAPALENO;PERÓXIDO DE BENZOÍLA,00.317.372/0001-46,GALDERMA BRASIL LTDA,510102001171319
ADEFOVIR DIVIPOXILA,33.247.743/0001-10,GLAXOSMITHKLINE BRASIL LTDA,510610001115217
ADENOSINA,61.230.314/0001-75,LIBBS FARMACÊUTICA LTDA,523700101153315
AESCULUS HIPPOCASTANUM L.,84.684.620/0001-87,LABORATORIO CATARINENSE LTDA,516120030003507
AFLIBERCEPTE,02.685.377/0001-57,SANOFI-AVENTIS FARMACÊUTICA LTDA,502817040072707
AGOMELATINA,57.507.378/0003-65,EMS S/A,541818100089306
ÁGUA PARA INJEÇÃO,49.324.221/0001-04,FRESENIUS KABI BRASIL LTDA,509506307153418
ÁGUA PARA INJEÇÃO Q.S.P.,01.571.702/0001-98,HALEX ISTAR INDÚSTRIA FARMACÊUTICA SA,511219020037817
ÁGUA PARA INJETÁVEIS,49.324.221/0001-04,FRESENIUS KABI BRASIL LTDA,509500616154411
ÁGUA PARA INJETÁVEIS QSP,55.972.087/0001-50,JP INDUSTRIA FARMACEUTICA S/A,514917070009904
ALANILGLUTAMINA,49.324.221/0001-04,FRESENIUS KABI BRASIL LTDA,509503302150319
ALANTOÍNA;ACETATO DE RACEALFATOCOFEROL;PALMITATO DE RETINOL;COLECALCIFEROL,44.734.671/0001-51,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,506715202163419
ALANTOÍNA;HEPARINA SÓDICA SUÍNA,49.475.833/0001-06,BIOLAB SANUS FARMACÊUTICA LTDA,504101401161311
ALBENDAZOL,33.247.743/0001-10,GLAXOSMITHKLINE BRASIL LTDA,510608802130311
ALBUMINA HUMANA,62.969.589/0001-98,CSL BEHRING COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA,502618070008007
ALCAFTADINA,43.426.626/0001-77,ALLERGAN PRODUTOS FARMACÊUTICOS LTDA,501012030011902
ÁLCOOL POLIVINÍLICO,43.426.626/0001-77,ALLERGAN PRODUTOS FARMACÊUTICOS LTDA,501003401170312
ÁLCOOL POLIVINÍLICO;CLORIDRATO DE FENILEFRINA,43.426.626/0001-77,ALLERGAN PRODUTOS FARMACÊUTICOS LTDA,501006502131317
ALENDRONATO DE SÓDIO,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508017100119806
ALENDRONATO DE SÓDIO TRI-HIDRATADO,45.987.013/0001-34,ORGANON FARMACÊUTICA LTDA.,525501103111314
ALENDRONATO DE SÓDIO TRI-HIDRATADO;COLECALCIFEROL,45.987.013/0001-34,ORGANON FARMACÊUTICA LTDA.,525503502119315
ALENDRONATO SÓDICO TRIHIDRATADO,33.349.473/0001-58,FARMOQUÍMICA S/A,509000406118415
ALENTUZUMABE,10.588.595/0010-92,SANOFI MEDLEY FARMACÊUTICA LTDA.,576720030060017
ALFA1ANTITRIPSINA,62.969.589/0001-98,CSL BEHRING COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA,502612090006104
ALFA-ALBUTREPENONACOGUE,62.969.589/0001-98,CSL BEHRING COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA,502619030008507
ALFA-ALGLICOSIDASE,10.588.595/0010-92,SANOFI MEDLEY FARMACÊUTICA LTDA.,576720050065717
ALFA-ASFOTASE,10.284.284/0001-49,ALEXION FARMACEUTICA BRASIL IMPORTACAO E DISTRIBUICAO DE PRODUTOS E SERVICOS DE ADMINISTRACAO,565518120000201
ALFACALCIDOL,00.923.140/0001-31,EMS SIGMA PHARMA LTDA,531614050073803
ALFACERLIPONASE,08.002.360/0001-34,BIOMARIN BRASIL FARMACÊUTICA LTDA,542418120000201
ALFACORIFOLITROPINA,03.560.974/0001-18,MERCK SHARP & DOHME FARMACEUTICA LTDA.,527304702157314
ALFACORIOGONADOTROPINA,33.069.212/0001-84,MERCK S/A,525413070044403
ALFADAMOCTOCOGUE PEGOL,18.459.628/0001-15,BAYER S.A.,538920060031207
ALFADARBEPOETINA,18.774.815/0001-93,AMGEN BIOTECNOLOGIA DO BRASIL LTDA.,544115100001017
ALFADORNASE,33.009.945/0001-23,PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.,529204301157318
ALFAEFMOROCTOCOGUE,07.986.222/0001-74,BIOGEN BRASIL PRODUTOS FARMACÊUTICOS LTDA,538318010002207
ALFAEFTRENONACOGUE,10.588.595/0010-92,SANOFI MEDLEY FARMACÊUTICA LTDA.,576720070079117
ALFAELOSULFASE,08.002.360/0001-34,BIOMARIN BRASIL FARMACÊUTICA LTDA,542417020000102
ALFAEPOETINA,60.659.463/0029-92,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,552919040075717
ALFAEPTACOGUE ATIVADO,82.277.955/0001-55,NOVO NORDISK FARMACÊUTICA DO BRASIL LTDA,526601504157414
ALFAESTRADIOL,61.230.314/0001-75,LIBBS FARMACÊUTICA LTDA,523717100036204
ALFAFOLITROPINA,33.069.212/0001-84,MERCK S/A,525421301152414
ALFAGALSIDASE,60.397.775/0001-74,TAKEDA PHARMA LTDA.,501121010034717
ALFAINTERFERONA 2A,33.009.945/0001-23,PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.,529205304151319
ALFAINTERFERONA 2B,60.659.463/0029-92,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,552919040076517
ALFALONOCTOCOGUE,62.969.589/0001-98,CSL BEHRING COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA,502620090009807
ALFALUTROPINA,33.069.212/0001-84,MERCK S/A,525421001159413
ALFALUTROPINA;ALFAFOLITROPINA,33.069.212/0001-84,MERCK S/A,525421101110319
ALFAMOROCTOCOGUE,61.072.393/0001-33,WYETH INDÚSTRIA FARMACÊUTICA LTDA,522720060088317
ALFANONACOGUE,61.072.393/0001-33,WYETH INDÚSTRIA FARMACÊUTICA LTDA,522720050085517
ALFAOCTOCOGUE,60.397.775/0001-74,TAKEDA PHARMA LTDA.,501121010033917
ALFAOXOFENILPROPIONATO DE CÁLCIO;RACEALFAOXOGAMAMETILPENTANOATO DE CÁLCIO;TRIPTOFANO;RACEALFA-HIDROXIGAMAMETILTIOBUTANOATO DE CÁLCIO;RACEALFAOXOBETAMETILPENTANOATO DE CÁLCIO;HISTIDINA;ACETATO DE LISINA;TREONINA;TIROSINA;RACEALFAOXOBETAMETILBUTANOATO DE CÁLCIO,49.324.221/0001-04,FRESENIUS KABI BRASIL LTDA,509504301158411
ALFAPEGINTERFERONA 2A,33.009.945/0001-23,PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.,529204002151210
ALFAPEGINTERFERONA 2B,03.560.974/0001-18,MERCK SHARP & DOHME FARMACEUTICA LTDA.,527313080011214
ALFAPORACTANTO,61.363.032/0001-46,CHIESI FARMACÊUTICA LTDA,508501201154414
ALFARURIOCTOCOGUE PEGOL,60.397.775/0001-74,TAKEDA PHARMA LTDA.,501121010035017
ALFASIMOCTOCOGUE,02.552.927/0001-60,OCTAPHARMA BRASIL LTDA,535317040002308
ALFASSEBELIPASE,10.284.284/0001-49,ALEXION FARMACEUTICA BRASIL IMPORTACAO E DISTRIBUICAO DE PRODUTOS E SERVICOS DE ADMINISTRACAO,565518060000101
ALFATALIGLICERASE,33.781.055/0001-35,FUNDAÇÃO OSWALDO CRUZ,541916040006504
ALFATIROTROPINA,02.685.377/0001-57,SANOFI-AVENTIS FARMACÊUTICA LTDA,502818100078117
ALFATUROCTOCOGUE,82.277.955/0001-55,NOVO NORDISK FARMACÊUTICA DO BRASIL LTDA,526618040009407
ALFAVELAGLICERASE,60.397.775/0001-74,TAKEDA PHARMA LTDA.,501121020037817
ALFAVELMANASE,61.363.032/0001-46,CHIESI FARMACÊUTICA LTDA,508520080013407
ALFAVESTRONIDASE,27.724.245/0001-18,ULTRAGENYX BRASIL FARMACEUTICA LTDA,597321070000117
ALIROCUMABE,10.588.595/0010-92,SANOFI MEDLEY FARMACÊUTICA LTDA.,576720040063617
ALOÍNA,19.791.813/0001-75,LABORATÓRIOS OSÓRIO DE MORAES LTDA,522101501113412
ALOPURINOL,61.286.647/0001-16,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,511500201118114
ALPELISIBE,56.994.502/0001-30,NOVARTIS BIOCIENCIAS S.A,526520020094707
ALPRAZOLAM,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508018804117114
ALPROSTADIL,61.072.393/0001-33,WYETH INDÚSTRIA FARMACÊUTICA LTDA,522720030084207
ALPROSTADIL ALFACICLODEXTRINA,60.659.463/0029-92,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,552919120086617
ALTEPLASE,60.831.658/0001-77,BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA.,504512030018403
AMBRISENTANA,33.247.743/0001-10,GLAXOSMITHKLINE BRASIL LTDA,510612201111211
AMINAFTONA,61.150.447/0001-31,LABORATÓRIOS BALDACCI LTDA,521018010009603
AMINOFILINA,17.159.229/0001-76,LABORATÓRIO TEUTO BRASILEIRO S/A,520701001158112
AMISSULPRIDA,02.685.377/0001-57,SANOFI-AVENTIS FARMACÊUTICA LTDA,502819602114315
AMOROLFINA,00.317.372/0001-46,GALDERMA BRASIL LTDA,510100901165319
AMOXICILINA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508000305151111
AMOXICILINA SÓDICA;SULBACTAM SÓDICO,04.748.181/0009-47,LABORATÓRIOS BAGÓ DO BRASIL S/A,536500803156312
AMOXICILINA TRIHIDRATADA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508000301113116
AMOXICILINA TRI-HIDRATADA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508016070111506
AMOXICILINA TRIHIDRATADA;AMOXICILINA TRI-HIDRATADA,60.659.463/0029-92,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,552919070080516
AMOXICILINA TRIHIDRATADA;CLAVULANATO DE POTÁSSIO,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508000206110113
AMOXICILINA;AMOXICILINA TRI-HIDRATADA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508000306131112
AMPICILINA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508000404117319
AMPICILINA ANIDRA,92.265.552/0001-40,MULTILAB INDÚSTRIA E COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA,525915070024306
AMPICILINA SÓDICA,49.324.221/0001-04,FRESENIUS KABI BRASIL LTDA,509521040028817
ANANAS COMOSUS (L.) MERRIL.,02.433.631/0001-20,ASPEN PHARMA INDÚSTRIA FARMACÊUTICA LTDA,505620050045107
ANASTROZOL,61.230.314/0001-75,LIBBS FARMACÊUTICA LTDA,523713010026903
ANATOXINA TETÂNICA;ANATOXINA DIFTÉRICA,61.821.344/0001-56,INSTITUTO BUTANTAN,545318080002907
